shash,genre,years,alt,heading,text
09e9dfc7e55437f7,belonging_dei,2012,0.077,Why work at Google?,"At Google, we know that every employee has something important to say, and that every employee is integral to our success."
b78c00e126f1786c,belonging_dei,"2019,2020",0.077,Community inclusion,"Women at Google In 2018, we focused on developing, progressing, and retaining women at all stages of their careers."
11f6f64902c42b8d,belonging_dei,"2021,2022",0.077,What are some of the responsibilities Google has?,"Melonie : It’s so important that the lived experiences of every person in our workforce is the same or at parity, and I think it’s so different than taking the approach of equality, which has that broad brush."
c85e9d77320a3c85,belonging_dei,"2022,2023,2024,2025",0.077,How we’re making progress on our representation goals,"We're launching new onboarding programs for all Black Googlers, and doubling down on our commitment to support Googlers of color through expanded mental health resources, and through internal mentorship programs like Stay and Thrive ."
a3f1e386fca3756e,belonging_dei,"2018,2019",0.076,Fostering inclusion for all,"Gayglers LGBTQ+ Googlers have 50 global chapters, and a mission to help attract, recruit, and retain top LGBTQ+ talent."
f7c2d44fe3d614f2,belonging_dei,"2019,2020",0.076,A quick note about our methodology,"This year, we now count multiracial people as a member of all the racial categories they identify with 1 ."
b7f56155e3f53899,belonging_dei,2018,0.075,Our accelerated approach to diversity and inclusion,"To do that well, we need a workforce that’s more representative of the users we serve."
eda6def7239c4d73,belonging_dei,"2019,2020",0.075,Community inclusion,"We scaled Polaris, a cohort program that supports the career development of rising women leaders."
044d9d4f788a5dc3,belonging_dei,"2019,2020",0.075,Google diversity annual report 2019,"To do that well, we need a workforce that’s more representative of the users we serve."
a15589674c20accb,belonging_dei,2025,0.075,Fostering community and belonging for LGBTQ+ Googlers and allies through employee resource groups,"Today, we offer health coverage for all Googlers and their spouses or partners of any gender, nearly everywhere in the world."
25a8e0a9bd9a6c33,belonging_dei,"2022,2023,2024,2025",0.074,How we’re making progress on our representation goals,"We're also focusing on hiring more employees of color in key growth sites , and we're working with external partner organizations and Minority Serving Institutions in order to strengthen pathways to careers in tech for those historically excluded from the industry."
26a187f91c4ad928,belonging_dei,"2023,2025",0.072,Ensuring equity in benefits and healthcare for LGBTQ+ Googlers,All Googlers are entitled to quality healthcare regardless of gender identity or sexual orientation.
bdcd85c3b6e91d74,belonging_dei,"2018,2019",0.071,1. Extending D&I,"First, the responsibility and work to achieve a more diverse and inclusive Google is shifting from a primarily People Operations and grassroots-led model, to one of shared ownership with Google’s most senior leaders."
6925fbdd16f8e99d,belonging_dei,"2019,2020",0.071,Employee Resource Groups,"Disability Alliance Disability Alliance has 15 sub-groups for employees who care about disabilities, learning differences, special needs, or neurodiversity for themselves or a child, relative, or friend."
94eb61b85baccb23,belonging_dei,"2021,2022",0.071,What has Google learned?,"And when we think about the underrepresented Googlers, what does underrepresented really mean across each of the countries that we serve?"
1c9b104de87a93ff,belonging_dei,"2018,2019",0.070,Fostering inclusion for all,"Trans members set up and organized the Trans@ conference, an internal 2-day event that welcomed 50+ trans and allied Googlers globally."
69158dd038264f5f,belonging_dei,"2018,2019",0.070,Fostering inclusion for all,They covered topics ranging from healthcare benefits to promoting understanding of non-binary gender identities.
8687534867c9a83f,belonging_dei,"2019,2020",0.070,Employee Resource Groups,Greyglers Greyglers advocate for the needs of employees and users as they age.
f5223f8bf0c8e780,belonging_dei,"2021,2022",0.070,From awareness to action,"Diversity Annual Report expands to include LGBTQ+, people with disabilities, military and veterans, and non-binary Googlers globally."
b441323a5b1a13d1,belonging_dei,"2022,2023,2024,2025",0.070,"How we’re working to better recruit, hire, and co-create with Googlers with disabilities",Googlers with disabilities make critical contributions across the company.
61939462595d8af2,belonging_dei,"2019,2020",0.069,Community inclusion,We are investing in our relationships with women of color across the tech industry and are also focused on connecting with women leaders in tech.
4071f8267d9469a1,belonging_dei,"2019,2020",0.069,Intersectional attrition index,"* Native American includes Native Americans, Alaska Natives, Native Hawaiian and Other Pacific Islanders as categorized by U.S. government reporting standards Our focus on retaining underrepresented talent drove progress, and we’re pleased to see improvement here."
ea78425dc61eee69,belonging_dei,"2018,2019",0.068,Fostering inclusion for all,"Greyglers Greyglers represents 2,000 older Googlers, and advocates for employees (for example, around retirement benefits) and users (around product accessibility)."
3c761690bc09f676,belonging_dei,"2018,2019",0.068,Conclusion,"That’s why from now on ownership for diversity and inclusion will be shared between Google’s leadership team, People Operations, and Googlers."
7c866e2844533614,belonging_dei,2022,0.068,Explore more of our belonging work,Hiring changes drove our best year yet for women in tech globally and Black+ and Latinx+ people in the U.S.
39b1ec8091ad8b09,belonging_dei,"2022,2023",0.068,Explore more of our belonging work,"We expanded how we help Googlers thrive at work, reaching hiring and retention milestones."
bf1c61267a0c5a8f,belonging_dei,2025,0.068,Fostering community and belonging for LGBTQ+ Googlers and allies through employee resource groups,"Here are a few of the ways we’ve shown up for LGBTQ+ Googlers over the years: In 2003, our very first employee resource group, the Gayglers (later renamed PRIDE at Google), was created by LGBTQ+ Googlers."
1a7e5b8354b7b4b1,belonging_dei,"2019,2020",0.067,Employee Resource Groups,"This year, we saw a nearly 50% increase in employees engaged in Accessibility Week sessions, product demos, tech talks, discussion panels, social events, and awareness activities."
ad2d23b20cac7556,belonging_dei,"2019,2020",0.067,Employee Resource Groups,"The group hosted over 10,000 employees, family, and friends at Pride parades around the globe including Cuba, Bucharest, and Johannesburg."
ea4b03ca031217ce,belonging_dei,"2019,2020",0.067,New demographic data,"However, for the first time, we have introduced a non-binary self-ID approach for gender data."
f4d01c8d3a913777,belonging_dei,"2019,2020",0.067,What would it take?,"Our efforts paid off: the rate of increase in representation tripled for Black+, and quadrupled for Latinx+ groups."
c5dbf54b736751a4,belonging_dei,"2019,2020",0.067,3. Leadership accountability matters,"We work with numerous Employee Resource Groups, driven by passionate employees across our workforce, to improve both the experience of underrepresented groups at Google and our products that impact billions of people globally."
febf124878f12e77,belonging_dei,"2020,2021,2022",0.067,"Our approach to diversity, equity, and inclusion","We are building a robust, diverse talent pool to support our industry’s growth."
ca4bca852d361f09,belonging_dei,2017,0.066,"In 2015, we moved in the right direction.","We’re hiring above our current representation of Blacks and Hispanics, and we increased representation of women in leadership and in technical roles."
a4ed525513c5ca91,belonging_dei,"2019,2020",0.065,Intersectional attrition index,We also recognize the value of an intersectional approach as we consider the best way to achieve fair outcomes across groups.
1e3ac430bf520576,belonging_dei,"2018,2019",0.064,Fostering inclusion for all,Google currently sponsors 20+ ERGs with 250+ chapters across 99 offices and 46 countries.
1eaa04724e032efc,belonging_dei,"2019,2020",0.064,Google diversity annual report 2019,In 2019 for the first time we are publishing data from employees who have chosen to self-identify as LGBTQ+ or as having a disability.
3bcd720872ca8ca6,belonging_dei,2017,0.063,"In 2015, we moved in the right direction.","Of new hires in 2015 were Black, compared to 2% of our current population."
a7d6e1f71ca80dd9,belonging_dei,"2019,2020",0.063,Tech hires,Our focus on hiring more women in tech is having meaningful results.
ee0152e5de4a0bfe,belonging_dei,"2022,2023,2024,2025",0.063,How we’re building belonging for the military-affiliated community at Google,"Here are a few programs and policies that help strengthen the military-affiliated community here at Google: Growing the global military-affiliated community at Google through VetNet: The Google Veterans Network (VetNet) was formed to unify and connect Veterans, service members, military spouses and partners, and civilian allies."
b6730674fdb97047,belonging_dei,"2019,2020",0.062,What would it take?,"For example, we focused on improving representation for Black+ and Latinx+ employees following last year’s Diversity Annual Report."
865b58d89063ebe9,belonging_dei,"2022,2023,2024,2025",0.062,Our progress toward gender equity in our workplace,"We’ve ensured pay equity for all women employees globally since 2017, and have shared our approach for others to use ."
1e3266b3d272c1b7,belonging_dei,"2022,2023,2024",0.062,Our progress toward gender equity in our workplace,"To address issues of inappropriate conduct in the workplace, we overhauled our internal processes and added new care programs for people who report concerns."
b23568d540dbc32d,belonging_dei,2025,0.062,Advancing gender equity in our workplace for Googlers around the world,"To address issues of inappropriate conduct in the workplace, we overhauled our internal processes and added new care programs for people who report concerns."
d6ba0fcd07d7e0b5,belonging_dei,"2018,2019",0.060,From unconscious bias to conscious action,"Last year, we made parental benefits gender-neutral."
796c676848659066,belonging_dei,"2019,2020",0.060,Employee Resource Groups,"Gayglers Gayglers is a global network of LGBTQ+ employees across 50 chapters that seeks to attract, recruit, and retain top LGBTQ+ talent."
71c7d06acbde385c,belonging_dei,"2019,2020",0.060,Employee Resource Groups,"VetNet VetNet provides a Googler support network for military veterans, service members, friends, and family in helping solve challenges in the veteran community."
e949c6ea3671bdc4,belonging_dei,"2019,2020",0.059,Google diversity annual report 2019,"They improve outcomes for our employees, our products, and our users."
b32fee1a50d5f954,belonging_dei,"2022,2023,2024",0.059,Our progress toward gender equity in our workplace,We’ve created internal policies to alleviate stressors that tend to disproportionately impact women.
4cf07dbae53ce789,belonging_dei,2025,0.059,Advancing gender equity in our workplace for Googlers around the world,We’ve created internal policies to alleviate stressors that tend to disproportionately impact women.
7a1a4189a2198022,belonging_dei,"2019,2020",0.058,Community inclusion,"As we look to expand our workforce in the U.S., we have formed a team of recruiters specifically dedicated to hiring veterans to join Google."
a5749e41964a99f5,belonging_dei,"2019,2020",0.056,What would it take?,"Despite those gains, Black+ and Latinx+ representation has only reached 3.3% and 5.7% of our workforce, respectively."
fa1076cb368d93e0,belonging_dei,2000,0.054,Join Our Team!,"Google seeks to hire only the best, and conducts business following the spirit and the intent of the equal opportunity laws."
3e7e930cc8b28b24,belonging_dei,"2018,2019",0.054,3. Overarching strategy,"Our company-wide strategy is anchored in further operationalizing four longstanding commitments: Drive fairness within Google’s processes, as well as in our distribution of resources and opportunity."
3cffbfcc1938cda1,belonging_dei,"2019,2020",0.054,What would it take (for tech to reflect its consumer base)?,About 70% of these interns identify as Black+ or Latinx+.
8f0a0a362645275c,belonging_dei,"2019,2020",0.054,Leadership hires,"Similar to the measures above, we are looking to increase Black+ and Latinx+ leadership hires by matching the available talent pool."
6143fa8e4f4b8b6c,belonging_dei,2025,0.053,Connecting job seekers with in-demand digital skill training,"People from underrepresented groups are far less likely to have access to digital skills training, and this can limit opportunities for career growth."
3c2bd5b01f442b2d,belonging_dei,2025,0.052,Fostering community and belonging for LGBTQ+ Googlers and allies through employee resource groups,"In 2019, for the first time, our Diversity Report included data on the representation of employees who have chosen to self-identify as LGBTQ+, as well as nonbinary genders."
baf674625c218102,belonging_dei,"2018,2019",0.051,Intersection of race and gender,We know various social identities can overlap to influence the amount of bias or disadvantage someone faces.
3fa3ac7ddca6f38c,belonging_dei,"2022,2023,2024,2025",0.051,How we’re building online safety for people marginalized because of their gender,Nearly all forms of online violence disproportionately affect vulnerable groups like women and others who are marginalized due to their gender.
6235050a94e84518,belonging_dei,2017,0.050,"In 2015, we moved in the right direction.","Of new hires in 2015 were Hispanic, compared to 3% of our current population."
50a1173e6051b56e,belonging_dei,"2018,2019",0.050,Hiring,"Since 2014, women hires in tech have increased from 20.8% to 24.5% (+3.7 ppts), which shows that our focus on hiring more women into technical positions is having impact."
4122c6ac31d20900,belonging_dei,"2021,2022",0.050,Why is belonging important at Google?,"When I think about belonging, I think about the different spaces where I’ve been invited into or been the only person who looks like me, but being welcomed in those spaces is something different than being invited."
f85055af0e1cc618,belonging_dei,"2022,2023,2024,2025",0.050,How we’re making progress on our representation goals,"We're driving allyship and holding leaders accountable by incorporating diversity, equity, and inclusion into performance reviews for all vice president+ levels."
f48296bff2b4c70e,belonging_dei,"2023,2025",0.049,Ensuring equity in benefits and healthcare for LGBTQ+ Googlers,"We offer health coverage for all Googlers and their spouses or partners of any gender, nearly everywhere in the world."
d68bd89a7d908b18,belonging_dei,"2019,2020",0.048,New demographic data,"We are also publishing data voluntarily provided by employees along the lines of disability status, LGBTQ+, gender identity, and military experience."
65f251d8f5da1065,belonging_dei,"2019,2020",0.046,Google diversity annual report 2019,"Diversity, equity, and inclusion are business imperatives for Google."
835ec475fb679c33,belonging_dei,"2019,2020",0.045,Employee Resource Groups,"Collectively, more than 25,000 employees actively participate as members of our 16 Employee Resource Groups."
581063c07b80bf39,belonging_dei,"2022,2023,2024,2025",0.045,How we’re making progress on our representation goals,"As we work towards our representation goals, we're focusing on more than just hiring."
339a12d9b6a71a61,belonging_dei,"2021,2022",0.043,What are some of the responsibilities Google has?,"To really go to what’s the unique or customized strategy that’s needed across all of the communities that we serve at Google, across our users, etc. john : And we’ve understood from the very beginning that people who are situated differently, fairness and equality requires you treat them differently."
2162c6d6eb2e8fb0,belonging_dei,"2018,2019",0.041,Fostering inclusion for all,"VetNet VetNet represents Googlers who served, or are actively serving in the military."
7ce0754ea04fd852,belonging_dei,"2019,2020",0.041,What would it take?,"Over the past year, we accelerated progress via leadership accountability, more detailed and intersectional data, and a company-wide strategy pulling in the same direction."
5e1c2b3743cd4ac7,belonging_dei,"2022,2023",0.041,"In a world where everyone belongs, anything is possible.",LUCY PINTO: We know that the starting point is uneven.
54f21b9c55ac9d33,belonging_dei,"2019,2020",0.040,Community inclusion,"We launched new initiatives, including a sponsorship program that pairs high-potential women directors with VPs who provide coaching and advocacy to advance their careers."
9513d4199fbfa7fa,belonging_dei,"2019,2020",0.040,Community inclusion,"The result has been an ongoing conversation about the urgency of improving diversity, equity, and inclusion at senior leadership levels, and specific proposals around retention and talent development within our 2019 strategy."
316e7755151fda35,belonging_dei,"2019,2020",0.038,Leadership hires,This is an area we are prioritizing in 2019 by ensuring all leadership searches include candidates representative of the available talent pool.
7211afcd55abac15,belonging_dei,"2019,2020",0.038,Leadership hires,We also continue to deepen relationships with Black and Latinx executives and professional associations outside Google.
586c7fd951dd00cb,belonging_dei,"2021,2022",0.038,What are some of the responsibilities Google has?,"And so I could be saying we have to pay attention to how people are situated, to look at communities that have been left behind, that have been underfunded, but not to the exclusion of other groups."
92d73ba2e3ce01f7,belonging_dei,"2021,2022",0.036,What are some of the responsibilities Google has?,"The point is that we learn from each other, and part of having people come in is not coming in as guests."
20523c06546b4215,belonging_dei,"2021,2022",0.036,What has Google learned?,"And when we do find that, we are going deeper to figure out localized strategies to the communities to find out what we need to do."
07705d098858db97,belonging_dei,"2022,2023,2024,2025",0.034,How we’re making progress on our representation goals,"Our recruiting leads are working closely with internal groups like the Black Googler Network to improve hiring, progression, and retention for underrepresented groups at Google."
e494e4d3468db6c0,belonging_dei,"2018,2019",0.033,Hiring,Black Googler hires (3.2% of all U.S. hires) remain above current representation (2.5% of all U.S.
4f9d38ba82831941,belonging_dei,"2022,2023,2024",0.032,Our progress toward gender equity in our workplace,"We’ve created targeted career development and promotion programs for women Googlers at every hiring level, from entry-level to director."
961b99b0fa045a63,belonging_dei,2025,0.032,Advancing gender equity in our workplace for Googlers around the world,"We’ve created targeted career development and promotion programs for women Googlers at every hiring level, from entry-level to director."
83e89bbea8be9694,belonging_dei,"2018,2019",0.031,Hiring,"Googlers), and hires of Black Googlers in tech positions increased from 1.9% to 2.0% (+0.1 ppt)."
870486930c93c49f,belonging_dei,"2019,2020",0.031,Employee Resource Groups,"Trans@ Trans@ became a formal Employee Resource Group to advocate for transgender, transsexual, genderqueer, genderfluid, agender, gender variant, intersex, non-binary, and questioning employees as well as allies."
7c4fad50871be713,belonging_dei,"2019,2020",0.030,Employee Resource Groups,"Launched this year, the #YouTubeBlack Brand Summit welcomed decision-makers from top clients and agencies for an advertising inclusion investment program."
8b03f9d480f64c71,belonging_dei,2014,0.028,Employee networks at Google,Diversity is a core part of our business and who we are.
4bdf9ebd3b0dd6a7,belonging_dei,"2018,2019",0.028,Hiring,"In 2017, overall Latinx hires increased to 4.2% (+0.4 ppts), while Latinx hires in non-Tech roles increased to 7.2% (+1.5 ppts)."
bae53ce817bc3c0a,belonging_dei,"2021,2022",0.028,2020 was a year of challenges that had a profound impact on how we work and live.,Those already facing social and economic disadvantages were hit disproportionately hard.
da3f7e26ad848da6,belonging_dei,"2022,2023,2024,2025",0.027,How we’re building belonging for the military-affiliated community at Google,"VetNet members mentor newly hired Googlers, supporting them in the transition to corporate civilian life."
6fa711ca0f872bc1,belonging_dei,"2018,2019",0.024,3. Overarching strategy,Diversity is a business imperative because Google builds for everyone—and diverse teams produce better products and services.
e4b3d8b6d922da43,belonging_dei,"2019,2020",0.023,What would it take (for tech to reflect its consumer base)?,The tech industry cannot meaningfully increase the diversity of its workforce simply by hiring each other’s talent.
db486f50ce96b4fd,belonging_dei,2012,0.022,Ten things we know to be true,"We put great stock in our employees–energetic, passionate people from diverse backgrounds with creative approaches to work, play and life."
ff6d9fb574b5295b,belonging_dei,"2018,2019",0.021,"2017 attrition index by race/ethnicity, U.S.","Put simply, to improve workforce representation we must focus not only on hiring, but also on developing, progressing, and retaining members of underrepresented employees, and creating an inclusive culture."
4388eb49efe72665,belonging_dei,"2018,2019",0.020,"2017 attrition index by race/ethnicity, U.S.","Black Googler attrition rates, while improving in recent years, have offset some of our hiring gains, which has led to smaller increases in representation than we would have seen otherwise."
5b55f67809d4bc66,belonging_dei,"2021,2022",0.019,What has Google learned?,"And one of the ways that we’re trying to get really close to what’s happening locally is by developing country plans, and so we’re looking at not just what each region needs, but what does each country need?"
f3c0cb782bf0f06f,belonging_dei,2025,0.018,Advancing gender equity in our workplace for Googlers around the world,"For example, we expanded our Carer’s Leave from 4 to 14 weeks of paid time away with reimbursement for up to 20 days of caregiver costs."
e5222b6079a37f2a,belonging_dei,"2019,2020",0.016,Google diversity annual report 2019,"We are also looking at the experience of those who have served in the military, as we recognize their unique needs and skills."
f3671b6788a53d55,belonging_dei,"2018,2019",0.015,Fostering inclusion for all,VetNet has done work to improve pay policies and leave for Googlers who still actively serve.
e4ecfac15f181a5b,belonging_dei,"2019,2020",0.014,Leadership representation,"We made gains across underrepresented leadership through external hiring as well as internal development, progression, and retention of talented employees."
f8ec26bb5c633803,belonging_dei,"2021,2022",0.012,What has Google learned?,"Pedro : As much as we like to think about the idea of having a diversity and inclusion and belonging strategy globally, we also understand that the tensions that exist and need to be mended will differ and will change significantly when you look at them on a local level."
30018a33d5a2ea29,belonging_dei,"2018,2019",0.010,From unconscious bias to conscious action,Google’s efforts in this space include a strong focus on pay equity.
474ab3b55cd49d4a,belonging_dei,2017,0.007,"In 2015, we moved in the right direction.","Of employees in leadership positions were women, a 2% increase from last year."
7f4aaa6912408e2f,belonging_dei,"2018,2019",0.007,"2017 attrition index by race/ethnicity, U.S.","Based on employee surveys, we have learned that feeling included is associated with lower attrition for all employees, especially people of color."
6ad966b3700ceabd,belonging_dei,"2021,2022",0.006,What has Google learned?,"You’re shaping their value system, and you realize that the education process is a process full of biases where they all creep in as well."
45046f5cb478cb1b,belonging_dei,"2021,2022",0.005,What has Google learned?,"And then making sure that as Googlers exit our company, are they doing that at parity or are we seeing some groups exiting more than others?"
86fb900360fdc73f,belonging_dei,"2018,2019",0.001,"2017 attrition index by race/ethnicity, U.S.","Equally important, the data shows us that it’s critical to place an intentional focus on knowing and growing our talent from underrepresented groups, including opportunities for sponsorship, visibility, and development; we have a number of initiatives in place to do this."
e443930ea452860d,belonging_dei,"2021,2022",0.001,What has Google learned?,"I think where we’ve done really well is the holistic strategy, that we’ve really integrated across our business to focus on representation."
2d42eebaa852c5e4,belonging_dei,"2021,2022",-0.007,What has Google learned?,"So having leaders locally that understand what kind of representation do they need to have in our local operations in order to develop a truly inclusive culture is absolutely critical, and arming our leaders with that skill set and that capability and that sensitivity is absolutely critical."
af866a5c8ff96451,belonging_dei,"2020,2021,2022",-0.014,"Our approach to diversity, equity, and inclusion","The Equity Programs Team focuses on ensuring parity in how we source and hire Nooglers as well as in performance reviews, promotions, and retention ."
899f6e2c6c013e67,belonging_dei,"2018,2019",-0.027,"2017 attrition index by race/ethnicity, U.S.",We’re working hard to better understand what drives higher attrition and taking focused measures to improve it.
4d1d458c29855011,belonging_dei,"2019,2020",-0.030,Workforce representation,"Because representation is a function of hiring, progression, and retention, our strategy focuses on measurable goals, focused talent development, and an inclusive culture."
919f52fb1ab345a3,belonging_dei,"2021,2022",-0.084,What has Google learned?,"So the very simple formula that says hiring minus attrition, so that we’re really looking at net gains and we’re looking at who we’re hiring, who we’re partnered with to hire, where we’re sourcing our talent."
28aa696c4870c81c,csr_philanthropy,"2020,2021,2022",0.237,"Our approach to diversity, equity, and inclusion",Google.org is committed to philanthropy in support of STEM access for underserved communities.
0916c0ea592551b7,csr_philanthropy,"2020,2021,2022",0.217,"Our approach to diversity, equity, and inclusion","By providing computer science education from primary school through university we are growing the next generation of Black and Latinx tech leaders through programs like CS First , Code Next , and Tech Exchange ."
a40d90607d942910,csr_philanthropy,"2022,2023,2024,2025",0.211,$25M Google.org Impact Challenge for Women and Girls,"In 2021, we launched the Google.org Impact Challenge for Women and Girls , which focused on gender inequity, one of the most urgent challenges we face as a society."
fc075edd46e6cbf7,csr_philanthropy,"2022,2023,2024,2025",0.202,$25M Google.org Impact Challenge for Women and Girls,"The challenge, launched in partnership with Vital Voices and Project Everyone, was an open call to organizations that create pathways to prosperity for women and girls."
458cc7cc86619842,csr_philanthropy,"2019,2020",0.201,What would it take (for tech to reflect its consumer base)?,An example of this is Google.org's $25 million commitment to increase Black+ and Latinx+ students’ access to computer science and artificial intelligence education across the U.S.
30e91a737876d4a1,csr_philanthropy,"2021,2022",0.189,From awareness to action,"By 2020, it has dedicated $104 million in grants and 25,000 pro bono hours to advancing racial equity."
68de7af985b91c0d,csr_philanthropy,"2021,2022",0.188,From awareness to action,Google.org launches a racial justice portfolio.
4a155ab58ec20d78,csr_philanthropy,"2018,2019",0.184,From unconscious bias to conscious action,And it’s why we inspire girls and young women to consider a career in the Tech sector via projects like Made With Code .
ac1c07e816c2a067,csr_philanthropy,"2022,2023,2024,2025",0.184,Celebrating the impact of the Asian American and Pacific Islander community,"As part of our 2021 campaign to honor Asian American Heritage Month and #StopAsianHate, we committed $10 million to organizations fighting for safety, dignity, and equity for the AAPI community."
a90a9da4f5a24eff,csr_philanthropy,"2021,2022",0.183,From awareness to action,"By 2020, it has dedicated $55 million to create economic empowerment for women and girls."
85aabeb4a73c4bca,csr_philanthropy,"2021,2022",0.177,From awareness to action,Google.org launches a gender equality portfolio.
8ae6349264f498cc,csr_philanthropy,"2022,2023,2024,2025",0.165,Helping The Trevor Project support LGBTQ+ youth in crisis,"In 2020, Google.org Fellows assisted The Trevor Project in building an artificial intelligence system that could identify and prioritize high-risk contacts while also reaching more people."
c14ebdc7ad99763e,csr_philanthropy,"2019,2020",0.164,Employee Resource Groups,"The group helped Google celebrate Native American Heritage Month with a Google Doodle, episode on Google’s documentary series, and a CS First program to strengthen computer science in Native classrooms."
ad184485d7186d4a,csr_philanthropy,"2022,2023,2024,2025",0.159,Helping the military-affiliated community build meaningful careers,"Helping trusted military-serving organizations scale their impact through Google.org grants: In 2021, we committed a $10 million grant to help Hiring Our Heroes launch Career Forward ."
6336a75c9bc9b8ab,csr_philanthropy,"2019,2020",0.150,Community inclusion,"Google also signed the Women’s Empowerment Principles from UN Women, which was developed to help organizations advance and empower women in the workplace and beyond."
1b90855208050ddd,csr_philanthropy,"2019,2020",0.148,What would it take (for tech to reflect its consumer base)?,"That’s why we continue to make long-term investments in education, so that we increase pathways to tech for underrepresented groups."
487d868c4a2e0bd4,csr_philanthropy,"2019,2020",0.148,What would it take (for tech to reflect its consumer base)?,At the same time we will deepen our efforts around our educational equity programs—for example with Tech Exchange and Code Next .
689cc1a26529e480,csr_philanthropy,"2022,2023,2024,2025",0.143,Helping the military-affiliated community build meaningful careers,"Since 2015, we’ve committed over $29 million to support the efforts of U.S."
2be10d179a8b91e1,csr_philanthropy,2022,0.142,Our work to support the Asian American Pacific Islander community,"We also recognize the urgency of supporting the physical and psychological safety of this group, which is why we committed $10 million to organizations on the front lines fighting for safety, dignity, and equity for the AAPI community."
8bde9000902467d9,csr_philanthropy,2025,0.142,Supporting LGBTQ+ communities around the world through Google.org,"In the last couple of years, Google.org has allocated millions of dollars in grant money to support LGBTQ+ communities around the world."
902ffd346474ae8f,csr_philanthropy,2025,0.141,Connecting job seekers with in-demand digital skill training,"Here are some of the ways we’re working to close that gap: Tech Equity Collective (TEC), an initiative started by Google employees in the summer of 2020, accelerates Black innovation and representation in tech by bringing together community and industry partners to create programs and experiences that lead to tangible progress for Black tech innovators."
1a1e2670633404d8,csr_philanthropy,"2019,2020",0.140,Community inclusion,"We know that this work is done better in partnership with others, so we engage closely with external organizations like Anita B.Org , UN Women , Black Girls Code (who run a lab inside dedicated Google office space in NYC ), National Center for Women in Technology (to whom we gave dedicated office space in Boulder valued at $1.3M), Lesbians Who Tech , and Stanford Clayman Institute for Gender Research ."
9e8f262a17252824,csr_philanthropy,"2014,2015",0.139,Fortune Names Google the 2014 “Best Company to Work For”,"While we’re honored to be included, what makes us proud is the recognition of the great contributions Googlers make to the communities in which we live and work."
e77237a93aa34ee7,csr_philanthropy,2025,0.138,Supporting LGBTQ+ communities around the world through Google.org,"This includes: $2.7 million and a team of 30 Google.org Fellows in 2021 to use AI to help The Trevor Project scale its LGBTQ+ youth crisis support resources, including expanding its services to more countries starting with Mexico $2 million in grants and $1 million in Ad Grants to help OutRight Action International support LGBTQ+ people affected by the COVID-19 crisis in 2021 Free search ads for Turn2Me in 2022, an Irish nonprofit on a mission to offer safe and timely mental health services online Support for {reprograma} , a training initiative that aims to increase opportunities for Black and transgender women in Brazil’s tech sector"
358e8874ad42f759,csr_philanthropy,"2022,2023,2024,2025",0.127,Helping the military-affiliated community build meaningful careers,"We have pledged $10 million in ad grants over the next five years, to military- and Veteran-serving organizations."
11c89f879d97d79c,csr_philanthropy,"2018,2019",0.122,From unconscious bias to conscious action,Our grant funding supports many organizations that tackle bias; read about them here .
7d45a5900a87ec67,csr_philanthropy,2023,0.119,How we’re continuing to show up for communities at work and beyond,"Our efforts include strengthening workplace onboarding programs, developing entrepreneurial tools and creating economic opportunities for underrepresented groups."
439af9a0d5b78a12,csr_philanthropy,"2018,2019",0.118,From unconscious bias to conscious action,That’s why Google invests in teaching girls and other under-represented groups to code.
fa8673107258089c,csr_philanthropy,"2020,2021,2022",0.116,"Our approach to diversity, equity, and inclusion","We approach this work by building long-term partnerships with educational institutions, policymakers, and community organizations."
86d599d2c65fec30,csr_philanthropy,"2020,2021",0.115,Looking back. Stepping forward.,We’ve made investments to strengthen the diverse communities both within and outside Google.
5bc28157312b2dc7,csr_philanthropy,"2019,2020",0.114,Community inclusion,Events also included giving back to local communities.
dc4bb5036c65fefa,csr_philanthropy,2024,0.114,Relief for Israel and Gaza,Googlers and Google.org have committed more than $8 million to nonprofits providing relief to civilians affected in Israel and Gaza.
332762a65fe9fb16,csr_philanthropy,"2022,2023,2024,2025",0.109,Helping the military-affiliated community build meaningful careers,"As of 2022, we’ve given $800,000 toward organizations including Code Platoon and Student Veterans of America, so they can better connect with those searching for their services on Google."
139f3808025c5654,csr_philanthropy,"2022,2023,2024,2025",0.108,Helping the military-affiliated community build meaningful careers,That’s why we’re working to increase access to portable career credentials and employment opportunities.
7908394c4eba4f1a,csr_philanthropy,"2019,2020",0.107,Employee Resource Groups,Members organized a service trip to Puerto Rico that provided mentoring for 100 small businesses and nonprofit organizations there.
16db9f96c3f08a89,csr_philanthropy,"2019,2020",0.107,Employee Resource Groups,"Among the many programs, the #IAmRemarkable empowerment workshops have accelerated the career progression of 25,000 women both inside and outside Google in 50+ countries."
194b51eb3663985e,csr_philanthropy,"2022,2023,2024,2025",0.107,Helping the military-affiliated community build meaningful careers,"In addition, we’re developing tools and programs to help service members and military spouses and partners prepare for careers in tech and beyond."
2f5c6ed40d5d85b9,csr_philanthropy,"2022,2023,2024,2025",0.107,Helping The Trevor Project support LGBTQ+ youth in crisis,"To support youth in crisis, The Trevor Project offers free, confidential, 24/7 crisis services via phone, chat, and text."
396912891c79572b,csr_philanthropy,2016,0.106,Give back,We value giving back to the community just as much as we value the products we create.
3cef3967ef103059,csr_philanthropy,"2019,2020",0.106,Community inclusion,We also partner with Women in Computer Science chapters across 100+ universities to host 200+ events annually.
